City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,andergrove,-21.0833,149.1833,28.69,72,12,3.96,AU,1704177272
309,bay roberts,47.5999,-53.2648,-4.36,81,4,2.24,CA,1704177272
310,malvan,16.0667,73.4667,28.86,46,9,3.61,IN,1704177273
311,kiunga,-6.1219,141.2906,26.74,84,100,0.37,PG,1704177274
312,paramonga,-10.6667,-77.8333,21.14,87,99,3.6,PE,1704177274
313,thames,-37.1333,175.5333,18.46,64,18,3.86,NZ,1704177275
314,santo angelo,-28.2992,-54.2631,19.73,88,4,1.67,BR,1704177275
315,praia da vitoria,38.7333,-27.0667,16.53,88,40,4.49,PT,1704177276
316,yanbu,24.0891,38.0637,18.02,82,0,0.0,SA,1704177277
317,pochep,52.9336,33.4464,-7.55,93,100,8.36,RU,1704177278
318,port lincoln,-34.7333,135.8667,21.11,68,93,6.75,AU,1704177278
319,dudinka,69.4058,86.1778,-36.29,98,25,2.24,RU,1704177011
320,haiku-pauwela,20.9219,-156.3051,23.36,77,20,7.72,US,1704177279
321,marka,1.7159,44.7717,29.37,59,92,7.78,SO,1704177280
322,acapulco de juarez,16.8634,-99.8901,22.9,78,0,1.54,MX,1704177140
323,hami,42.8,93.45,-1.47,55,8,0.87,CN,1704177281
324,verkhnyaya salda,58.0456,60.5533,-24.79,96,100,3.44,RU,1704177283
325,palmer,42.1584,-72.3287,-2.77,79,0,0.0,US,1704177283
326,worthington,40.0931,-83.018,1.35,81,100,2.57,US,1704177284
327,magistral'nyy,56.1725,107.4458,-14.79,89,36,1.1,RU,1704177284
328,villa gesell,-37.2639,-56.973,18.36,84,6,3.55,AR,1704177285
329,patu,-6.11,-37.6367,23.85,88,100,2.78,BR,1704177286
330,ugoofaaru,5.6667,73.0,27.67,77,94,4.57,MV,1704177287
331,qamdo,31.1667,97.2333,-3.08,28,75,0.69,CN,1704177287
332,padang,-0.9492,100.3543,32.03,84,95,1.98,ID,1704177288
333,timbuktu,16.7735,-3.0074,18.59,15,35,4.01,ML,1704177041
334,klaksvik,62.2266,-6.589,6.51,87,96,14.84,FO,1704177289
335,saint-philippe,-21.3585,55.7679,25.77,89,100,4.5,RE,1704177290
336,kailua-kona,19.6406,-155.9956,25.98,74,100,1.35,US,1704177290
337,tulum,20.2167,-87.4667,18.7,85,12,2.44,MX,1704177291
338,the pas,53.8251,-101.2541,-3.99,74,100,5.66,CA,1704177292
339,jining,35.405,116.5814,8.66,48,0,1.96,CN,1704177223
340,nabire,-3.3667,135.4833,29.18,75,100,1.88,ID,1704177293
341,dakhla,23.6848,-15.958,16.01,77,0,3.6,EH,1704177294
342,kaa-khem,51.6833,94.7333,-17.0,87,100,0.84,RU,1704177294
343,waiuku,-37.25,174.75,20.18,78,5,3.3,NZ,1704177295
344,suining,30.508,105.5733,13.39,73,93,2.26,CN,1704177295
345,boa vista,2.8197,-60.6733,26.99,69,40,4.63,BR,1704177056
346,noormarkku,61.5927,21.8685,-21.12,77,0,2.06,FI,1704177239
347,pontes e lacerda,-15.2261,-59.3353,22.94,92,100,1.39,BR,1704177297
348,plastun,44.7561,136.2939,-4.28,54,84,3.58,RU,1704177298
349,marbletown,41.8834,-74.1132,-2.59,73,1,0.82,US,1704177299
350,mil'kovo,55.6078,37.7956,-17.55,74,88,5.72,RU,1704177299
351,tchintabaraden,15.8969,5.7985,17.43,19,100,4.5,NE,1704177300
352,malango,-2.9627,119.9001,25.69,86,100,0.56,ID,1704177301
353,lusaka,-15.4067,28.2871,23.74,69,37,2.9,ZM,1704177249
354,ghauspur,28.1391,69.0831,23.64,18,3,0.41,PK,1704177302
355,muang khong,14.1167,105.85,35.64,31,10,1.88,LA,1704177303
356,okha,53.5739,142.9478,-23.11,96,100,1.86,RU,1704177303
357,portales,34.1862,-103.3344,2.83,52,100,3.35,US,1704177304
358,port elizabeth,-33.918,25.5701,22.28,86,40,7.2,ZA,1704177305
359,khandyga,62.6667,135.6,-30.36,93,98,1.03,RU,1704177306
360,nemuro,43.3236,145.575,1.48,77,100,8.03,JP,1704177307
361,markaz-e hukumat-e darweshan,31.1323,64.1934,14.96,31,95,0.45,AF,1704177307
